"Search by voice","Pesquisar por voz"
"Listening… click to cancel","Ouvindo… clique para cancelar"
"Microphone permission denied.","Permissão do microfone negada."
"Search by image","Pesquisar por imagem"
"Analyzing image…","Analisando imagem…"
"Could not identify the image. Please try again.","Não foi possível identificar a imagem. Tente novamente."
"Image search limit reached for this month.","Limite de pesquisa por imagem atingido este mês."
"Error analyzing image. Please try again.","Erro ao analisar imagem. Tente novamente."
"Suggestions","Sugestões"
"Products","Produtos"
"Categories","Categorias"
"No products found","Nenhum produto encontrado"
"See all results for","Ver todos os resultados para"
"Enable Autocomplete","Ativar Autocomplete"
"Enable Image Search","Ativar Pesquisa por Imagem"
"AI Provider","Provedor de IA"
"API Key (Primary)","Chave API (Principal)"
"API Key (Fallback)","Chave API (Fallback)"
"Monthly Request Limit","Limite Mensal de Requisições"
